[tmdb-960876] Dunki | dunki-2023 | डंकी
[tmdb-15774] Swades | swades-2004 | स्वदेस
[tmdb-359724] Ford v Ferrari | ford-v-ferrari-2019 | Ford v Ferrari
[tmdb-315029] At the Waterfront After the Social: The Legacy of Sleepaway Camp | at-the-waterfront-after-the-social-the-legacy-of-sleepaway-camp-2014 | At the Waterfront After the Social: The Legacy of Sleepaway Camp
[tmdb-872906] Jawan | jawan-2023 | जवान
[tmdb-490132] Green Book | green-book-2018 | Green Book
[tmdb-285708] Baby Hamilton oder Das kommt in den besten Familien vor | baby-hamilton-oder-das-kommt-in-den-besten-familien-vor-1975 | Baby Hamilton oder Das kommt in den besten Familien vor
[tmdb-546554] Knives Out | knives-out-2019 | Knives Out
[tmdb-447150] Ore 10: lezione di canto | ore-10-lezione-di-canto-1955 | Ore 10: lezione di canto
[tmdb-827279] Death in Venice: The Sinking Palazzo | death-in-venice-the-sinking-palazzo-2008 | Death in Venice: The Sinking Palazzo
[tmdb-595841] Making Waves: The Art of Cinematic Sound | making-waves-the-art-of-cinematic-sound-2019 | Making Waves: The Art of Cinematic Sound
[tmdb-490] The Seventh Seal | the-seventh-seal-1957 | Det sjunde inseglet
[tmdb-530915] 1917 | 1917-2019 | 1917
[tmdb-65045] My Mother's Smile | my-mother-s-smile-2002 | L’ora di religione - Il sorriso di mia madre
[tmdb-14163] Chak De! India | chak-de-india-2007 | चकदे! इंडिया
[tmdb-864692] Pathaan | pathaan-2023 | पठान
[tmdb-604504] The Wild Weird World of Dr. Goldfoot | the-wild-weird-world-of-dr-goldfoot-1965 | The Wild Weird World of Dr. Goldfoot
[tmdb-228939] Hearts of Hot Shots! Part Deux—A Filmmaker's Apology | hearts-of-hot-shots-part-deux-a-filmmaker-s-apology-1993 | Hearts of Hot Shots! Part Deux—A Filmmaker's Apology
[tmdb-4254] Kal Ho Naa Ho | kal-ho-naa-ho-2003 | कल हो ना हो
[tmdb-215334] Qayamat | qayamat-1983 | Qayamat
[tmdb-4251] Veer-Zaara | veer-zaara-2004 | वीर-ज़ारा
[tmdb-18148] Tokyo Story | tokyo-story-1953 | 東京物語
[tmdb-26022] My Name Is Khan | my-name-is-khan-2010 | My Name Is Khan
[tmdb-459429] Fritz Lang, le cercle du destin - Les films allemands | fritz-lang-le-cercle-du-destin-les-films-allemands-2004 | Fritz Lang, le cercle du destin - Les films allemands
[tmdb-515001] Jojo Rabbit | jojo-rabbit-2019 | Jojo Rabbit
[tmdb-866434] Kaanekkaane | kaanekkaane-2021 | കാണെക്കാണെ
[tmdb-242224] The Babadook | the-babadook-2014 | The Babadook
[tmdb-606754] Un amore così fragile, così violento | un-amore-cos-fragile-cos-violento-1973 | Un amore così fragile, così violento
[tmdb-906223] Maamannan | maamannan-2023 | மாமன்னன்
[tmdb-1259024] Good Bad Ugly | good-bad-ugly-2025 | குட் பேட் அக்லி
[tmdb-20941] Innocent Voices | innocent-voices-2005 | Voces inocentes
[tmdb-354221] Il volatore di aquiloni | il-volatore-di-aquiloni-1987 | Il volatore di aquiloni
[tmdb-1386995] All in the Family: 20th Anniversary Special | all-in-the-family-20th-anniversary-special-1991 | All in the Family: 20th Anniversary Special
[tmdb-762504] Nope | nope-2022 | Nope
[tmdb-377985] Fan | fan-2016 | Fan
